heure;vitesse;debit
00:00;65.34;8.83
00:06;63.11;8.33
00:12;64.23;6.50
00:18;63.69;7.00
00:24;63.51;10.33
00:30;66.23;8.17
00:36;66.38;6.00
00:42;69.72;6.00
00:48;66.81;5.17
00:54;68.60;5.33
01:00;70.20;6.67
01:06;70.32;7.33
01:12;68.73;6.50
01:18;62.58;4.00
01:24;67.94;5.50
01:30;69.72;3.50
01:36;68.75;4.83
01:42;69.13;5.17
01:48;67.08;4.33
01:54;70.08;4.50
02:00;70.47;4.50
02:06;66.27;5.33
02:12;65.74;6.67
02:18;72.41;6.33
02:24;67.96;4.67
02:30;69.97;5.17
02:36;70.85;7.83
02:42;67.81;4.67
02:48;69.86;3.17
02:54;67.07;7.17
03:00;70.38;5.17
03:06;68.25;6.33
03:12;69.52;4.83
03:18;56.94;2.50
03:24;56.42;3.83
03:30;68.86;4.83
03:36;67.59;8.00
03:42;67.88;7.33
03:48;75.37;5.00
03:54;75.90;6.67
04:00;72.22;7.17
04:06;66.45;8.50
04:12;75.14;7.33
04:18;73.58;8.00
04:24;74.65;7.17
04:30;69.75;9.83
04:36;68.08;10.50
04:42;71.56;13.50
04:48;70.12;16.67
04:54;70.32;11.00
05:00;69.59;13.50
05:06;70.84;13.50
05:12;69.69;16.83
05:18;70.54;16.83
05:24;70.59;16.67
05:30;67.75;24.67
05:36;66.50;25.00
05:42;66.08;39.00
05:48;67.47;42.67
05:54;70.17;41.33
06:00;66.86;38.67
06:06;68.73;40.83
06:12;66.20;49.33
06:18;65.47;56.67
06:24;63.01;64.33
06:30;63.31;78.17
06:36;63.46;88.33
06:42;61.62;97.50
06:48;61.68;106.83
06:54;61.77;90.83
07:00;58.43;96.50
07:06;57.79;87.67
07:12;55.25;102.50
07:18;53.74;107.33
07:24;51.22;111.50
07:30;49.74;112.00
07:36;46.50;134.17
07:42;44.13;135.50
07:48;42.08;151.50
07:54;39.54;145.67
08:00;32.86;147.67
08:06;25.60;142.33
08:12;29.24;132.17
08:18;28.29;122.83
08:24;28.64;130.83
08:30;30.29;144.83
08:36;32.30;140.67
08:42;26.52;144.33
08:48;27.42;130.17
08:54;31.10;144.33
09:00;31.09;142.67
09:06;26.73;142.00
09:12;31.29;130.83
09:18;30.96;134.50
09:24;28.59;129.00
09:30;40.99;128.83
09:36;45.30;129.00
09:42;45.29;126.33
09:48;55.04;124.17
09:54;46.30;133.50
10:00;47.15;128.50
10:06;51.98;125.17
10:12;49.76;120.67
10:18;52.76;122.00
10:24;52.05;129.33
10:30;44.51;133.50
10:36;34.37;128.00
10:42;46.83;139.17
10:48;47.54;129.00
10:54;48.09;128.83
11:00;45.92;127.67
11:06;47.29;127.67
11:12;53.20;131.17
11:18;48.56;123.17
11:24;46.65;130.00
11:30;47.16;134.00
11:36;45.35;127.17
11:42;50.96;140.00
11:48;46.96;129.33
11:54;51.24;130.17
12:00;51.89;131.67
12:06;44.15;138.67
12:12;42.21;147.67
12:18;46.97;146.17
12:24;48.16;129.83
12:30;48.97;130.50
12:36;61.31;126.83
12:42;58.92;128.17
12:48;60.70;109.00
12:54;60.49;112.00
13:00;61.73;101.17
13:06;59.32;107.50
