heure;vitesse;debit
00:00;31.04;5.71
00:06;26.24;3.00
00:12;24.21;3.86
00:18;27.42;4.00
00:24;29.21;4.29
00:30;36.05;3.57
00:36;31.71;2.71
00:42;34.21;3.14
00:48;30.29;2.43
00:54;33.21;2.14
01:00;26.55;2.29
01:06;35.36;1.86
01:12;26.43;1.71
01:18;30.60;1.57
01:24;29.52;1.71
01:30;17.07;2.71
01:36;20.36;1.57
01:42;30.48;1.71
01:48;9.29;0.43
01:54;16.43;0.57
02:00;17.29;1.14
02:06;14.76;1.00
02:12;40.24;1.57
02:18;13.57;0.71
02:24;12.29;0.86
02:30;10.00;0.86
02:36;19.29;0.86
02:42;22.86;0.57
02:48;27.14;0.86
02:54;19.29;1.14
03:00;25.71;0.57
03:06;8.57;0.43
03:12;11.19;0.71
03:18;12.86;0.29
03:24;22.86;0.86
03:30;10.71;0.57
03:36;14.64;0.71
03:42;10.71;0.14
03:48;16.43;0.71
03:54;24.76;1.29
04:00;24.29;0.57
04:06;31.90;2.29
04:12;36.55;2.00
04:18;26.19;1.14
04:24;32.86;2.00
04:30;34.29;1.14
04:36;23.81;2.86
04:42;31.43;2.43
04:48;30.71;1.43
04:54;34.38;3.86
05:00;37.75;6.86
05:06;31.74;8.00
05:12;31.84;7.29
05:18;34.32;5.43
05:24;36.24;7.29
05:30;34.18;7.29
05:36;32.48;7.14
05:42;37.41;7.57
05:48;39.07;9.14
05:54;36.74;10.86
06:00;37.65;12.29
06:06;38.55;11.00
06:12;36.67;12.71
06:18;37.34;15.71
06:24;36.42;18.14
06:30;35.47;19.71
06:36;37.17;25.71
06:42;35.82;36.14
06:48;35.38;38.29
06:54;34.38;43.71
07:00;32.96;47.00
07:06;32.55;51.00
07:12;31.26;57.43
07:18;30.54;59.43
07:24;30.52;60.57
07:30;32.12;56.14
07:36;32.23;58.29
07:42;32.28;58.14
07:48;31.10;62.43
07:54;32.21;56.71
08:00;29.96;54.43
08:06;30.58;60.57
08:12;29.22;55.57
08:18;31.32;60.86
08:24;30.46;54.71
08:30;29.28;54.29
08:36;30.02;51.86
08:42;29.94;51.00
08:48;30.43;46.86
08:54;30.32;45.57
09:00;30.83;44.29
09:06;30.67;44.43
09:12;30.81;34.29
09:18;30.81;37.43
09:24;32.67;41.71
09:30;32.02;41.57
09:36;32.08;37.14
09:42;31.60;41.14
09:48;33.36;39.86
09:54;33.70;36.43
10:00;34.62;38.00
10:06;32.35;42.43
10:12;34.08;39.14
10:18;32.97;41.29
10:24;34.74;38.29
10:30;33.97;40.29
10:36;35.42;42.43
10:42;35.13;38.57
10:48;32.81;38.57
10:54;34.52;38.14
11:00;34.71;38.00
11:06;34.14;41.86
11:12;35.66;40.43
11:18;34.71;37.00
11:24;35.85;33.71
11:30;34.34;38.29
11:36;33.80;36.86
11:42;35.44;38.00
11:48;33.27;41.29
11:54;34.21;37.71
12:00;34.33;41.00
12:06;35.88;39.33
12:12;34.62;38.83
12:18;34.85;34.00
12:24;33.55;37.33
12:30;34.54;38.67
12:36;33.93;32.83
12:42;32.66;28.50
12:48;34.29;29.17
12:54;34.53;28.00
13:00;34.50;33.33
13:06;34.12;36.33
13:12;34.90;34.33
13:18;34.76;39.50
13:24;34.55;43.17
13:30;33.92;44.83
13:36;32.91;48.50
13:42;33.67;49.50
13:48;34.42;47.67
13:54;33.85;40.00
14:00;31.59;39.83
14:06;34.08;33.00
14:12;34.45;36.83
14:18;35.88;38.17
14:24;33.68;36.17
