heure;vitesse;debit
00:00;34.60;3.33
00:06;33.83;3.67
00:12;39.58;2.83
00:18;38.19;3.33
00:24;36.53;2.83
00:30;39.10;3.33
00:36;25.56;2.17
00:42;24.52;2.17
00:48;26.94;3.00
00:54;30.56;2.33
01:00;38.06;1.67
01:06;25.00;1.33
01:12;35.28;2.17
01:18;19.17;1.17
01:24;26.94;1.67
01:30;38.06;2.17
01:36;34.17;0.83
01:42;26.67;0.67
01:48;26.67;1.33
01:54;11.67;0.83
02:00;7.50;0.17
02:06;27.50;0.83
02:12;38.33;1.33
02:18;5.83;0.67
02:24;29.17;0.83
02:30;19.17;1.17
02:36;20.83;0.50
02:42;15.00;0.67
02:48;5.83;0.33
02:54;12.50;0.50
03:00;11.67;0.50
03:06;16.94;1.17
03:12;17.50;0.50
03:18;7.50;0.33
03:24;13.33;0.33
03:30;17.50;0.50
03:36;11.67;0.33
03:42;14.17;0.83
03:48;18.33;0.83
03:54;11.67;0.33
04:00;24.17;1.00
04:06;14.44;0.67
04:12;40.00;1.17
04:18;37.50;1.67
04:24;26.67;1.00
04:30;35.97;2.67
04:36;33.75;1.67
04:42;36.28;2.33
04:48;22.22;1.00
04:54;29.17;2.00
05:00;37.78;2.67
05:06;36.87;5.33
05:12;38.81;5.00
05:18;35.69;3.67
05:24;36.49;4.33
05:30;37.67;5.00
05:36;37.43;6.33
05:42;37.65;6.83
05:48;36.09;6.33
05:54;37.79;8.00
06:00;36.36;7.83
06:06;36.13;9.33
06:12;36.29;10.17
06:18;36.27;13.17
06:24;34.21;13.50
06:30;34.62;13.50
06:36;33.41;22.00
06:42;34.63;19.67
06:48;33.02;20.17
06:54;31.72;22.83
07:00;33.12;27.17
07:06;32.46;24.50
07:12;34.19;19.00
07:18;33.07;17.17
07:24;33.71;17.17
07:30;33.07;16.00
07:36;33.46;18.00
07:42;31.84;18.67
07:48;30.39;18.67
07:54;29.74;19.67
08:00;30.68;22.50
08:06;31.02;21.00
08:12;32.80;21.17
08:18;32.70;20.67
08:24;31.43;19.83
08:30;33.31;21.67
08:36;33.41;23.67
08:42;33.14;24.17
08:48;32.44;26.67
08:54;33.64;33.50
09:00;32.20;33.00
09:06;32.40;31.67
09:12;31.27;35.17
09:18;30.78;31.50
09:24;31.74;31.67
09:30;30.30;33.83
09:36;31.70;29.67
09:42;30.01;32.00
09:48;29.69;30.50
09:54;30.19;25.17
10:00;31.81;24.50
10:06;31.62;28.17
10:12;32.45;29.33
10:18;31.80;27.33
10:24;31.82;26.50
10:30;30.74;29.67
10:36;31.87;30.50
10:42;29.76;36.83
10:48;31.32;38.50
10:54;31.38;37.50
11:00;31.10;28.50
11:06;31.63;39.33
11:12;29.52;38.00
11:18;29.96;40.17
11:24;30.62;37.33
11:30;27.74;41.83
11:36;28.89;38.50
11:42;30.88;43.00
