heure;vitesse;debit
00:00;40.83;3.50
00:06;49.03;4.17
00:12;46.08;2.83
00:18;49.04;4.50
00:24;43.25;2.67
00:30;47.39;3.67
00:36;48.35;3.83
00:42;46.72;2.17
00:48;51.11;2.17
00:54;47.27;4.67
01:00;41.94;2.33
01:06;39.44;1.83
01:12;39.44;2.17
01:18;50.00;3.00
01:24;33.33;0.83
01:30;24.17;1.33
01:36;42.50;1.50
01:42;40.00;1.33
01:48;41.81;2.00
01:54;31.67;1.00
02:00;31.39;1.33
02:06;43.33;1.33
02:12;42.83;1.67
02:18;33.89;1.33
02:24;40.56;2.17
02:30;42.50;1.50
02:36;47.64;2.67
02:42;43.33;1.17
02:48;22.50;1.00
02:54;19.17;0.67
03:00;25.00;1.00
03:06;48.61;1.83
03:12;41.94;1.50
03:18;45.28;1.67
03:24;41.67;1.50
03:30;35.83;1.17
03:36;33.83;2.00
03:42;51.17;3.00
03:48;44.17;1.83
03:54;45.83;1.00
04:00;46.67;1.83
04:06;48.33;1.17
04:12;36.67;1.50
04:18;43.83;2.67
04:24;48.19;3.17
04:30;51.28;2.83
04:36;52.17;4.17
04:42;53.83;4.33
04:48;53.78;6.17
04:54;57.01;4.50
05:00;54.56;3.33
05:06;49.74;5.50
05:12;52.23;7.17
05:18;54.54;8.33
05:24;54.15;7.83
05:30;54.12;9.00
05:36;54.11;7.17
05:42;52.63;14.17
05:48;52.28;11.67
05:54;53.85;12.00
06:00;50.74;9.17
06:06;51.45;12.33
06:12;49.72;15.83
06:18;51.11;15.50
06:24;48.72;20.17
06:30;49.38;16.67
06:36;48.76;21.33
06:42;46.87;28.17
06:48;47.80;33.17
06:54;45.36;40.17
07:00;44.52;42.67
07:06;40.29;44.83
07:12;36.78;35.50
07:18;34.02;39.33
07:24;33.73;39.67
07:30;31.75;41.33
07:36;27.02;37.17
07:42;28.45;43.00
07:48;29.13;39.50
07:54;27.93;35.67
08:00;31.39;40.33
08:06;30.88;38.83
08:12;28.64;34.00
08:18;39.37;34.67
08:24;39.30;45.33
08:30;33.92;39.33
08:36;32.38;38.00
08:42;31.67;32.17
08:48;30.76;40.50
08:54;31.89;35.00
09:00;35.19;47.33
09:06;37.16;42.00
09:12;36.67;36.50
09:18;35.98;33.50
09:24;36.02;37.33
09:30;34.50;31.50
09:36;38.66;27.67
09:42;35.73;34.50
09:48;36.07;31.00
09:54;29.39;31.67
10:00;38.86;28.83
10:06;37.90;30.00
10:12;38.85;23.00
10:18;41.96;30.00
10:24;45.32;29.50
10:30;41.04;27.33
10:36;44.96;26.50
10:42;44.99;30.50
