heure;vitesse;debit
00:00;65.62;3.83
00:06;65.22;3.33
00:12;50.08;2.83
00:18;40.42;2.33
00:24;54.39;3.17
00:30;66.39;2.17
00:36;51.22;2.83
00:42;62.61;2.67
00:48;53.50;2.67
00:54;46.11;1.50
01:00;40.00;1.83
01:06;40.67;1.67
01:12;56.94;2.17
01:18;48.33;1.33
01:24;32.50;1.00
01:30;45.83;1.00
01:36;35.00;1.17
01:42;47.22;1.33
01:48;20.83;0.67
01:54;37.92;1.50
02:00;52.22;1.67
02:06;28.06;0.83
02:12;58.33;2.00
02:18;67.22;2.50
02:24;54.03;1.67
02:30;26.67;0.67
02:36;59.17;2.00
02:42;23.61;0.83
02:48;42.08;1.33
02:54;57.50;1.33
03:00;32.78;1.00
03:06;60.83;2.00
03:12;63.06;1.67
03:18;72.22;3.00
03:24;57.22;1.83
03:30;65.53;4.83
03:36;65.37;3.83
03:42;73.33;2.33
03:48;58.33;2.33
03:54;71.35;4.00
04:00;67.64;3.67
04:06;69.31;3.33
04:12;73.23;5.67
04:18;71.42;4.33
04:24;70.53;5.33
04:30;67.40;8.00
04:36;67.42;11.00
04:42;71.27;7.67
04:48;70.67;6.67
04:54;69.42;4.17
05:00;66.67;7.67
05:06;68.42;12.33
05:12;68.20;15.50
05:18;66.97;15.67
05:24;68.10;15.50
05:30;67.22;19.83
05:36;67.65;20.50
05:42;67.76;23.17
05:48;68.11;20.67
05:54;66.95;25.67
06:00;65.53;24.83
06:06;63.47;26.67
06:12;64.62;34.00
06:18;63.95;37.50
06:24;61.98;48.83
06:30;60.88;72.00
06:36;60.27;89.33
06:42;59.46;98.50
06:48;58.00;104.67
06:54;59.09;99.50
07:00;59.58;64.33
07:06;57.39;47.33
07:12;58.63;45.17
07:18;56.04;36.33
07:24;53.20;33.33
07:30;52.38;36.50
07:36;46.16;37.83
07:42;45.71;39.00
07:48;42.55;32.00
07:54;47.65;40.67
08:00;49.76;39.83
08:06;50.10;45.50
08:12;49.19;41.67
08:18;48.62;39.83
08:24;47.42;36.33
08:30;54.27;37.83
08:36;52.93;39.33
08:42;52.27;37.83
08:48;52.64;41.50
08:54;56.27;30.33
09:00;55.08;33.83
09:06;55.14;37.83
09:12;56.35;39.33
09:18;56.06;36.67
09:24;55.75;37.50
09:30;58.60;47.67
09:36;60.42;41.83
09:42;60.62;36.33
09:48;59.93;36.00
09:54;58.66;38.83
10:00;57.66;34.33
10:06;59.07;42.00
10:12;58.94;39.67
10:18;59.63;40.00
10:24;58.44;36.33
10:30;59.01;41.00
10:36;59.99;38.50
10:42;59.26;38.50
10:48;60.23;34.50
10:54;59.32;35.50
11:00;58.57;40.67
11:06;60.84;39.17
11:12;60.37;36.17
11:18;60.07;36.50
11:24;59.64;37.17
11:30;59.48;38.17
11:36;58.99;42.33
11:42;60.83;39.33
11:48;59.40;39.67
11:54;61.40;37.67
12:00;59.54;42.50
12:06;61.00;38.83
12:12;60.91;41.67
12:18;61.04;37.00
12:24;62.26;32.67
12:30;61.04;42.00
