heure;vitesse;debit
00:00;72.54;8.00
00:06;71.00;10.00
00:12;70.83;9.50
00:18;72.34;8.17
00:24;75.46;4.67
00:30;71.94;5.00
00:36;71.87;8.83
00:42;68.70;6.67
00:48;57.17;5.83
00:54;60.95;4.50
01:00;71.10;4.33
01:06;60.79;3.83
01:12;60.40;4.50
01:18;69.83;5.50
01:24;70.07;3.50
01:30;74.83;2.83
01:36;71.94;2.50
01:42;70.17;4.50
01:48;67.94;2.83
01:54;79.05;3.17
02:00;69.44;3.17
02:06;47.58;3.00
02:12;31.04;2.50
02:18;60.00;2.33
02:24;58.72;3.17
02:30;73.44;3.17
02:36;74.31;2.33
02:42;72.08;2.50
02:48;32.50;0.50
02:54;55.83;1.00
03:00;42.50;0.67
03:06;65.28;1.50
03:12;45.83;2.00
03:18;78.33;2.00
03:24;73.72;2.33
03:30;60.28;2.17
03:36;65.97;3.67
03:42;64.72;3.67
03:48;58.50;2.50
03:54;61.69;2.50
04:00;72.64;2.83
04:06;70.42;2.83
04:12;74.86;2.83
04:18;70.28;4.67
04:24;76.04;3.50
04:30;72.66;5.17
04:36;73.83;4.83
04:42;73.10;5.83
04:48;75.71;5.33
04:54;76.57;6.17
05:00;73.40;6.33
05:06;70.34;7.00
05:12;71.33;8.50
05:18;72.86;11.33
05:24;70.17;16.50
05:30;71.07;19.00
05:36;71.52;22.83
05:42;73.91;23.83
05:48;72.46;26.00
05:54;71.40;27.67
06:00;71.21;32.50
06:06;70.77;34.33
06:12;70.30;34.33
06:18;69.04;47.33
06:24;67.40;61.83
06:30;67.39;72.17
06:36;65.86;78.17
06:42;63.84;100.83
06:48;62.64;113.83
06:54;55.34;136.00
07:00;22.31;133.17
07:06;15.72;122.67
07:12;15.25;143.33
07:18;15.50;136.50
07:24;15.25;126.67
07:30;15.31;125.67
07:36;15.58;135.50
07:42;15.49;136.17
07:48;15.62;121.33
07:54;15.89;123.83
08:00;15.59;126.50
08:06;15.27;131.83
08:12;15.47;126.67
08:18;19.92;120.50
08:24;23.43;113.17
08:30;17.17;113.33
