heure;vitesse;debit
00:00;61.50;8.00
00:06;59.44;5.33
00:12;57.28;8.17
00:18;57.89;7.00
00:24;62.01;5.67
00:30;59.10;6.50
00:36;58.41;6.00
00:42;59.08;6.33
00:48;63.18;4.83
00:54;59.42;4.67
01:00;58.33;6.83
01:06;60.23;6.83
01:12;59.10;4.83
01:18;60.83;4.17
01:24;56.00;4.17
01:30;47.99;3.83
01:36;60.11;3.17
01:42;47.22;2.17
01:48;49.52;4.33
01:54;61.42;3.33
02:00;58.33;3.67
02:06;58.97;3.67
02:12;58.32;5.33
02:18;59.10;5.00
02:24;59.44;3.17
02:30;56.43;4.83
02:36;58.54;3.83
02:42;55.14;5.33
02:48;61.34;4.00
02:54;64.29;4.33
03:00;61.25;4.33
03:06;63.06;4.33
03:12;57.79;3.83
03:18;62.28;3.83
03:24;59.43;7.00
03:30;62.08;4.83
03:36;60.62;4.50
03:42;57.67;3.50
03:48;61.02;5.83
03:54;58.03;4.33
04:00;61.28;3.00
04:06;61.35;5.67
04:12;62.03;5.83
04:18;63.66;6.50
04:24;59.06;5.17
04:30;64.25;6.50
04:36;61.85;7.50
04:42;62.34;10.33
04:48;64.11;10.83
04:54;60.79;6.17
05:00;61.77;9.00
05:06;62.02;10.67
05:12;60.40;10.67
05:18;60.46;19.67
05:24;60.10;18.67
05:30;60.37;22.33
05:36;60.07;30.67
05:42;61.52;35.50
05:48;61.28;34.50
05:54;59.87;32.67
06:00;61.79;30.67
06:06;59.50;35.33
06:12;60.44;38.83
06:18;59.46;50.83
06:24;58.89;67.00
06:30;57.46;71.17
06:36;57.38;85.33
06:42;56.16;93.17
06:48;55.95;93.67
06:54;53.65;96.33
07:00;53.28;91.33
07:06;52.11;90.67
07:12;51.06;78.67
07:18;51.23;83.67
07:24;48.46;81.00
07:30;49.12;81.00
07:36;48.86;79.83
07:42;45.13;79.83
07:48;46.18;75.17
07:54;45.11;87.33
08:00;47.32;58.00
08:06;47.13;74.50
08:12;45.66;55.33
08:18;47.30;51.67
08:24;48.44;69.33
08:30;49.05;58.67
08:36;49.00;61.67
08:42;48.99;59.67
08:48;47.57;61.83
08:54;48.39;64.33
09:00;47.02;69.50
09:06;47.89;51.00
09:12;48.92;58.00
09:18;51.50;59.50
09:24;49.09;68.33
09:30;49.34;77.83
09:36;50.28;66.17
09:42;54.80;55.17
09:48;55.44;58.67
09:54;52.55;69.17
10:00;54.90;66.17
10:06;55.14;60.67
10:12;54.85;68.67
10:18;56.96;57.50
10:24;54.79;52.50
10:30;54.74;50.67
10:36;55.03;58.33
10:42;51.29;57.50
10:48;50.21;44.83
10:54;51.04;51.00
11:00;50.87;51.00
11:06;51.35;46.83
11:12;51.87;50.33
11:18;51.15;53.67
11:24;55.44;59.33
11:30;57.85;61.00
11:36;57.52;63.67
11:42;57.58;56.00
11:48;56.07;58.67
11:54;49.62;54.67
12:00;53.80;56.17
12:06;58.19;52.50
12:12;58.79;54.17
12:18;58.41;53.67
12:24;59.06;55.67
12:30;58.60;56.50
12:36;57.31;60.33
12:42;59.05;54.00
12:48;59.35;52.83
12:54;59.18;48.50
13:00;59.51;48.83
13:06;59.33;52.00
13:12;58.28;55.50
13:18;57.97;60.83
13:24;58.22;62.83
13:30;58.87;57.00
13:36;58.61;60.00
13:42;57.01;62.67
13:48;50.88;64.00
13:54;51.10;61.67
14:00;51.95;48.50
14:06;50.19;50.17
14:12;50.86;52.33
14:18;51.34;55.83
14:24;51.59;54.67
14:30;49.76;52.67
14:36;51.64;50.83
14:42;50.78;54.83
14:48;51.36;50.50
14:54;50.82;54.50
15:00;52.23;61.67
15:06;55.03;47.67
15:12;52.43;54.33
15:18;53.57;57.67
15:24;55.52;59.50
15:30;56.90;68.00
15:36;53.72;60.33
15:42;53.66;58.50
15:48;51.13;58.00
15:54;52.75;64.50
16:00;58.40;56.33
16:06;57.32;63.50
16:12;57.03;58.83
16:18;55.87;70.00
16:24;56.50;61.17
16:30;56.90;62.83
16:36;55.63;62.00
16:42;56.28;58.83
16:48;53.98;65.67
16:54;54.76;67.67
17:00;55.26;59.50
17:06;53.85;62.17
