heure;vitesse;debit
00:00;21.25;1.33
00:06;22.50;0.50
00:12;18.33;0.83
00:18;21.94;1.17
00:24;16.39;1.00
00:30;18.33;1.00
00:36;8.33;0.33
00:42;17.50;0.50
00:48;13.33;0.33
00:54;7.50;0.17
01:00;7.50;0.17
01:06;13.33;0.67
01:12;18.33;0.67
01:18;22.50;0.50
01:24;7.50;0.17
01:30;11.67;0.50
01:36;13.61;0.83
01:42;10.00;0.50
01:48;5.83;0.17
01:54;5.83;0.17
02:00;0.00;0.00
02:06;12.50;0.50
02:12;12.22;0.67
02:18;5.83;0.17
02:24;5.83;0.17
02:30;12.50;0.50
02:36;7.50;0.17
02:42;2.50;0.17
02:48;12.50;0.50
02:54;4.17;0.33
03:00;5.83;0.17
03:06;6.67;0.33
03:12;7.50;0.17
03:18;12.78;0.67
03:24;13.33;0.33
03:30;13.06;0.83
03:36;10.83;0.67
03:42;2.50;0.17
03:48;5.83;0.33
03:54;7.50;0.17
04:00;13.33;0.33
04:06;17.50;0.50
04:12;11.67;0.33
04:18;13.33;0.33
04:24;4.17;0.33
04:30;10.83;0.50
04:36;11.67;0.33
04:42;21.67;0.67
04:48;25.28;1.17
04:54;19.72;0.83
05:00;35.83;1.17
05:06;28.89;1.50
05:12;25.00;0.83
05:18;25.00;0.83
05:24;41.11;1.83
05:30;25.33;2.17
05:36;38.31;3.50
05:42;30.25;2.67
05:48;36.11;3.17
05:54;28.67;2.67
06:00;28.47;2.83
06:06;37.41;9.33
06:12;37.20;12.50
06:18;38.00;10.50
06:24;34.65;7.83
06:30;34.53;8.33
06:36;37.75;10.17
06:42;37.11;12.67
06:48;37.11;13.33
06:54;35.87;23.50
07:00;36.18;20.00
07:06;34.08;20.67
07:12;35.42;23.00
07:18;33.72;15.17
07:24;35.37;12.83
07:30;36.10;12.67
07:36;32.24;15.00
07:42;35.16;13.17
07:48;35.59;14.83
07:54;35.27;13.83
08:00;35.02;13.33
08:06;33.44;15.17
08:12;36.14;10.83
08:18;33.78;13.17
08:24;33.45;13.00
08:30;30.94;12.00
08:36;32.96;12.50
08:42;31.51;13.33
08:48;30.82;15.00
08:54;31.36;12.67
09:00;32.46;12.33
09:06;33.12;14.33
09:12;29.81;14.67
09:18;32.64;15.50
09:24;30.39;18.00
09:30;31.77;21.83
09:36;31.09;24.33
09:42;29.17;25.00
09:48;30.63;25.00
09:54;29.91;28.17
10:00;29.28;25.17
10:06;28.01;28.50
10:12;28.86;33.00
10:18;27.24;36.17
10:24;27.82;37.83
10:30;28.11;39.00
10:36;28.27;37.67
10:42;27.33;36.67
10:48;26.84;41.17
10:54;26.92;42.00
11:00;25.95;42.50
11:06;25.51;44.33
11:12;26.50;45.00
11:18;25.22;46.83
11:24;26.49;42.00
11:30;28.10;43.67
11:36;27.51;49.33
11:42;27.62;44.83
11:48;28.46;50.33
11:54;29.79;48.83
12:00;26.90;52.17
12:06;27.59;56.17
12:12;25.92;50.83
12:18;26.19;46.67
12:24;27.45;41.67
12:30;28.08;41.33
12:36;27.52;44.17
12:42;28.63;38.33
12:48;30.52;35.67
12:54;30.12;31.00
13:00;28.36;38.67
13:06;29.56;36.50
13:12;29.21;40.67
13:18;28.01;36.67
13:24;28.14;41.83
13:30;29.72;42.83
13:36;29.11;42.67
13:42;28.94;45.83
13:48;27.99;39.67
13:54;29.39;42.33
14:00;30.44;41.00
14:06;29.48;65.17
14:12;29.01;61.83
14:18;28.86;53.00
14:24;27.18;45.17
14:30;26.45;49.50
14:36;27.23;45.67
14:42;27.86;43.00
14:48;26.92;47.67
14:54;26.71;47.50
15:00;27.49;49.67
15:06;26.55;44.83
15:12;26.68;48.83
15:18;27.90;47.83
15:24;25.50;48.33
15:30;25.94;49.17
15:36;25.14;53.00
15:42;27.67;45.83
15:48;25.66;55.67
15:54;27.69;62.33
16:00;27.52;51.33
16:06;26.70;63.67
16:12;26.68;70.00
16:18;25.15;71.17
16:24;24.61;63.17
16:30;25.92;61.33
16:36;26.13;76.00
16:42;25.70;63.00
16:48;25.71;64.67
16:54;24.84;58.17
17:00;24.59;73.67
17:06;23.96;83.83
17:12;21.95;79.33
17:18;22.54;74.33
17:24;21.74;76.33
17:30;21.02;72.67
17:36;21.80;69.50
17:42;20.06;67.67
17:48;22.63;55.50
17:54;21.83;55.83
18:00;23.10;54.83
18:06;20.38;74.83
18:12;20.76;71.67
18:18;21.79;59.67
18:24;22.29;57.17
18:30;25.24;52.50
18:36;24.72;49.83
18:42;25.71;45.50
18:48;27.08;46.17
18:54;27.13;46.33
19:00;27.59;47.50
19:06;26.47;54.33
19:12;27.47;51.00
19:18;28.90;37.00
19:24;29.16;40.17
19:30;29.17;36.17
19:36;30.00;37.17
19:42;31.10;35.00
19:48;29.88;30.00
19:54;29.23;32.83
20:00;31.17;32.33
20:06;31.09;38.50
20:12;31.44;32.00
20:18;31.91;26.00
20:24;32.24;20.50
20:30;30.38;21.83
20:36;30.57;18.50
20:42;31.58;17.17
20:48;32.08;13.83
20:54;32.35;11.00
21:00;30.94;9.83
21:06;29.44;8.67
21:12;32.11;9.83
21:18;31.23;9.83
21:24;29.36;7.67
21:30;33.01;7.33
21:36;31.65;7.00
21:42;32.32;6.67
21:48;35.07;5.50
21:54;29.53;6.67
22:00;33.08;9.17
22:06;34.89;21.83
22:12;33.42;16.67
22:18;31.04;5.17
22:24;34.06;3.50
22:30;34.96;3.50
22:36;26.31;3.67
22:42;32.67;2.83
22:48;29.00;3.67
22:54;29.65;4.00
23:00;35.88;3.67
23:06;29.72;2.00
23:12;33.33;2.00
23:18;29.72;2.00
23:24;28.06;1.33
23:30;33.33;1.83
23:36;36.28;2.33
23:42;18.89;2.00
23:48;30.42;1.33
23:54;32.00;2.67
