POSTE,HEURE,VITESSE,DEBIT (VEH/6min)
2,23:06,61.91,14
2,23:12,65.88,13.83
2,23:18,67.96,9.33
2,23:24,64.18,15.17
2,23:30,66.48,10.33
2,23:36,67.84,12.33
2,23:42,62.86,12.67
2,23:48,68.58,6.5
2,23:54,63.93,9.5
3,00:00,73.02,19.17
3,00:06,68.98,16.5
3,00:12,72.5,18.33
3,00:18,70.07,16
3,00:24,72.08,14.83
3,00:30,73.84,14.67
3,00:36,72.46,13.33
3,00:42,72.05,9.5
3,00:48,72.26,10.33
3,00:54,74.06,10
3,01:00,71.38,8.33
3,01:06,71.35,7.33
3,01:12,73.36,9.67
3,01:18,70.92,6.67
3,01:24,75.23,6.67
3,01:30,73.34,6.33
3,01:36,75.78,8.17
3,01:42,70.94,6.67
3,01:48,70.43,6.17
3,01:54,73.31,7
3,02:00,74.53,5.17
3,02:06,77.36,5.33
3,02:12,70.69,5.33
3,02:18,71.53,5.83
3,02:24,73.81,5.83
3,02:30,74.21,5.17
3,02:36,74.47,4.83
3,02:42,72.99,4.5
3,02:48,74.66,5.17
3,02:54,70.21,5.17
3,03:00,70.7,5.17
3,03:06,70.54,7.17
3,03:12,73.6,6.5
3,03:18,74.17,8.33
3,03:24,76.18,9.5
3,03:30,73.42,10.5
3,03:36,74.74,14.17
3,03:42,75.04,13.33
3,03:48,75.43,9
3,03:54,74.17,7.5
3,04:00,75.23,8.67
3,04:06,74.13,9.67
3,04:12,73.35,10
3,04:18,73.15,10.33
3,04:24,72.81,10.83
3,04:30,74.31,11
3,04:36,74.97,13
3,04:42,73.66,12.67
3,04:48,71.07,13
3,04:54,73.02,10.17
3,05:00,71.22,11.33
3,05:06,70.24,14.67
3,05:12,74.88,17.33
3,05:18,70.7,19.5
3,05:24,69.97,21
3,05:30,71.7,22.67
3,05:36,71.83,24.83
3,05:42,71.39,28.33
3,05:48,71.3,33.33
3,05:54,69.61,32.5
3,06:00,70.06,30.17
3,06:06,69.4,39.67
3,06:12,69,42.17
3,06:18,70.75,52.33
3,06:24,68.98,59
3,06:30,69.73,57.67
3,06:36,68.89,68
3,06:42,65.45,79.17
3,06:48,66.29,90.83
3,06:54,65.61,95.17
3,07:00,64.39,100.67
3,07:06,64.36,110.17
3,07:12,64.91,115.5
3,07:18,64.4,121.33
3,07:24,63.03,122
3,07:30,64.33,121
3,07:36,62.77,135.83
3,07:42,61.55,142.67
3,07:48,65.37,119.67
3,07:54,66.97,118.17
3,08:00,68.26,110.33
3,08:06,68.36,104.67
3,08:12,67.56,107.5
3,08:18,70.05,101
3,08:24,69.56,102
3,08:30,69.65,96.17
3,08:36,70.49,87.33
3,08:42,70.17,97.33
3,08:48,71.36,91.33
3,08:54,72.08,79.67
3,09:00,69.77,80.17
3,09:06,69.39,81.67
3,09:12,69.35,81.33
3,09:18,69.35,83.17
3,09:24,68.22,78.83
3,09:30,67.82,87.33
3,09:36,69.83,80.33
3,09:42,69.72,79.67
3,09:48,68.02,79.67
3,09:54,69.86,76.67
3,10:00,69.58,76.83
3,10:06,68.27,79.83
3,10:12,67.72,78.67
3,10:18,67.97,86.83
3,10:24,69.7,86.33
3,10:30,68.26,92
3,10:36,68.37,86.33
3,10:42,68.74,96.5
3,10:48,70.05,89.83
3,10:54,70.52,92
3,11:00,67.83,98
3,11:06,68.37,98.83
3,11:12,68.68,112.5
3,11:18,69.81,111
3,11:24,69.48,107.17
3,11:30,67.45,104.5
3,11:36,67.5,116.67
3,11:42,68.7,111
3,11:48,69.73,106.5
3,11:54,69.32,121
3,12:00,69.35,122.33
3,12:06,69.29,132.17
3,12:12,69.77,126.67
3,12:18,69.35,123.67
3,12:24,67.6,124.5
3,12:30,70.97,106
3,12:36,71.09,110.67
3,12:42,70.1,100.5
3,12:48,71.53,102.33
3,12:54,72.84,100
3,13:00,70.77,97.5
3,13:06,71.84,100.17
3,13:12,72.23,109.17
3,13:18,72.25,107.33
3,13:24,70.25,110.5
3,13:30,71.48,110.33
3,13:36,68.56,118.67
3,13:42,71.11,120.33
3,13:48,70.36,118.33
3,13:54,70.11,116.5
3,14:00,71.39,113.67
3,14:06,71.96,104.83
3,14:12,69.33,117.33
3,14:18,70.62,115
3,14:24,70.17,111.17
3,14:30,69.72,116.33
3,14:36,69.71,114.83
3,14:42,69.6,114.17
3,14:48,69.73,117.67
3,14:54,69.59,129.5
3,15:00,69.95,114.17
3,15:06,68.49,133.33
3,15:12,67.97,141.5
3,15:18,68.56,133.5
3,15:24,68.45,141
3,15:30,68.34,147.5
3,15:36,65.13,153
3,15:42,65.84,152.33
3,15:48,62.75,152
3,15:54,64.33,166
3,16:00,63.74,168.33
3,16:06,61.42,188
3,16:12,57.49,195
3,16:18,55.12,192.17
3,16:24,55.78,202
3,16:30,58.31,192.83
3,16:36,60.5,199.5
3,16:42,58.35,190.17
3,16:48,59.5,200.17
3,16:54,59.78,197.67
3,17:00,61.37,179.33
3,17:06,57.08,197.33
3,17:12,58.24,199.33
3,17:18,58.43,193.67
3,17:24,57.09,196
3,17:30,54.13,194.83
3,17:36,52.88,195.17
3,17:42,39.42,194.67
3,17:48,45.6,198.33
3,17:54,43.85,192.5
3,18:00,36.45,191
3,18:06,37.3,194.5
3,18:12,41.37,185.33
3,18:18,36.5,190.33
3,18:24,42.85,194.17
3,18:30,47.83,191.33
3,18:36,51.07,191
3,18:42,56.41,173
3,18:48,49.64,151.5
3,18:54,55.82,152
3,19:00,57.51,172.33
3,19:06,54.53,172.5
3,19:12,54.77,177.17
3,19:18,60.55,160.33
3,19:24,64.23,149.83
3,19:30,64.02,137.67
3,19:36,66.55,132.67
3,19:42,64.9,132
3,19:48,66.41,128.67
3,19:54,67.86,117
3,20:00,69.61,105.83
3,20:06,69.76,102
3,20:12,68.26,105
3,20:18,70.35,87.67
3,20:24,70.01,81.83
3,20:30,69.9,71.67
3,20:36,69.39,68
3,20:42,69.46,65.17
3,20:48,69.01,59.33
3,20:54,70.64,55.83
3,21:00,71.55,53.83
3,21:06,70.4,52.67
3,21:12,69.88,51
3,21:18,69.26,44.17
3,21:24,70.63,42.33
3,21:30,71.19,44.5
3,21:36,72.48,34.5
3,21:42,72.01,34.83
3,21:48,71.83,33.5
3,21:54,70.37,32.33
3,22:00,72.04,33.5
3,22:06,70.25,33.5
3,22:12,71.75,29.17
3,22:18,72.71,32.17
3,22:24,72.11,32.67
3,22:30,70.1,30.83
3,22:36,70.5,31.83
3,22:42,72.67,31.17
3,22:48,70.48,29.5
3,22:54,71.34,28.17
3,23:00,72.95,27.17
3,23:06,72.16,25.83
3,23:12,70.71,30.5
3,23:18,70.86,25.83
3,23:24,70.43,24.33
3,23:30,71.65,23.83
3,23:36,72.16,27.5
3,23:42,70.44,23.67
3,23:48,73.06,23.17
3,23:54,73.05,20
47,00:00,61.5,8
47,00:06,59.44,5.33
47,00:12,57.28,8.17
47,00:18,57.89,7
47,00:24,62.01,5.67
47,00:30,59.1,6.5
47,00:36,58.41,6
47,00:42,59.08,6.33
47,00:48,63.18,4.83
47,00:54,59.42,4.67
47,01:00,58.33,6.83
47,01:06,60.23,6.83
47,01:12,59.1,4.83
47,01:18,60.83,4.17
47,01:24,56,4.17
47,01:30,47.99,3.83
47,01:36,60.11,3.17
47,01:42,47.22,2.17
47,01:48,49.52,4.33
47,01:54,61.42,3.33
47,02:00,58.33,3.67
47,02:06,58.97,3.67
47,02:12,58.32,5.33
47,02:18,59.1,5
47,02:24,59.44,3.17
47,02:30,56.43,4.83
47,02:36,58.54,3.83
47,02:42,55.14,5.33
47,02:48,61.34,4
47,02:54,64.29,4.33
47,03:00,61.25,4.33
47,03:06,63.06,4.33
47,03:12,57.79,3.83
47,03:18,62.28,3.83
47,03:24,59.43,7
47,03:30,62.08,4.83
47,03:36,60.62,4.5
47,03:42,57.67,3.5
47,03:48,61.02,5.83
47,03:54,58.03,4.33
47,04:00,61.28,3
47,04:06,61.35,5.67
47,04:12,62.03,5.83
47,04:18,63.66,6.5
47,04:24,59.06,5.17
